Id,Pixels Agregados,Pixels Ligante,Pixels Brilho,Cobrimento,Estatistica,Legenda
1,8806,7723,20,87.92868498750852,57.29578954635747,Media
2,7437,5614,0,75.48742772623369,18.70513583975721,Desv. Pad.
3,7513,4051,1,53.93318248369493,42.0,Limiar Ligante
4,11489,7586,19,66.1937505439986,134.0,Limiar Brilho do ligante
5,8798,4181,6,47.59036144578313,,
6,11542,9923,2,85.99029630913186,,
7,9537,3729,51,39.63510537905002,,
8,11916,7638,0,64.09869083585096,,
9,9444,4753,0,50.32825074121135,,
10,10496,3026,6,28.88719512195122,,
11,6992,4328,0,61.899313501144164,,
12,4134,2408,0,58.24866956942429,,
13,10120,3577,5,35.39525691699605,,
14,43,0,43,100.0,,
15,8291,3052,2,36.83512242190327,,
16,6731,4635,0,68.86049621155846,,
17,9625,4080,0,42.38961038961039,,
18,7249,4098,4,56.58711546420196,,
19,9841,6895,61,70.68387359008231,,
20,8896,3609,19,40.78237410071942,,
21,10741,4569,0,42.53793873940974,,
22,9585,4166,2,43.484611371935316,,
23,8612,5600,1,65.03715745471435,,
24,8701,4903,0,56.349844845420066,,
25,10356,6744,38,65.48860563924295,,
26,9997,3657,20,36.78103431029309,,
27,7429,3761,3,50.66630771301656,,
28,9952,4772,75,48.70377813504823,,
29,9163,4568,1,49.86358179635491,,
30,8246,4231,12,51.45525103080281,,
31,9124,4901,0,53.71547566856642,,
32,7653,3571,2,46.687573500588,,
33,5887,2252,35,38.84830983523017,,
34,6948,3683,2,53.03684513529073,,
35,6871,3928,0,57.16780672391209,,
36,9204,4753,0,51.640591047370705,,
37,8635,5092,8,59.06195715112913,,
38,7579,6090,0,80.35360865549545,,
39,43,0,43,100.0,,
40,10979,7622,3,69.4507696511522,,
41,12981,8390,0,64.6329250442955,,
42,7842,4378,2,55.8530986993114,,
43,3,0,3,100.0,,
44,114,96,0,84.21052631578948,,
45,3,0,3,100.0,,
46,11,0,11,100.0,,
47,3,0,3,100.0,,
48,8249,4823,12,58.61316523214935,,
49,6366,3674,0,57.712849513038016,,
50,7391,1967,7,26.708158571235288,,
51,8992,1628,89,19.094750889679716,,
52,7584,3459,223,48.54957805907173,,
53,7244,2580,14,35.80894533406958,,
54,6424,5002,7,77.97322540473225,,
55,8008,3968,3,49.58791208791209,,
56,11008,5131,5,46.656976744186046,,
57,19,0,19,100.0,,
58,12330,4102,24,33.46309813463098,,
59,6354,2378,70,38.52691218130312,,
60,4572,1684,22,37.31408573928259,,
61,4332,2236,0,51.61588180978762,,
62,11722,5522,126,48.18290394130695,,
63,10824,6285,25,58.29637841832964,,
64,16589,10143,15,61.23334739887878,,
65,5594,2459,9,44.11869860564891,,
66,11252,5167,2,45.938499822253824,,
67,8509,5931,14,69.86719943589141,,
68,8743,6085,8,69.6900377444813,,
69,3872,3063,1,79.13223140495867,,
70,5553,2893,1,52.11597334773996,,
71,5885,2925,14,49.94052676295667,,
72,6042,2252,7,37.388282025819265,,
73,6959,3782,1,54.36125880155195,,
74,8886,3474,113,40.36686923250056,,
75,5811,2776,6,47.87472035794183,,
76,5665,2904,0,51.262135922330096,,
77,5659,3660,0,64.67573776285563,,
78,7407,4609,2,62.251923855812066,,
79,6235,2132,22,34.54691259021652,,
80,10781,3682,16,34.30108524255635,,
81,53,33,0,62.264150943396224,,
82,7207,2785,16,38.864992368530594,,
83,6689,5248,10,78.60666766332785,,
84,4572,2978,1,65.15748031496064,,
85,7243,4555,4,62.943531685765564,,
86,7715,4122,0,53.42838626053143,,
87,4794,3285,2,68.56487275761368,,
88,24,16,0,66.66666666666667,,
89,8230,2512,294,34.0947752126367,,
90,9392,2215,32,23.924616695059626,,
91,46,38,0,82.6086956521739,,
92,19,17,0,89.47368421052632,,
93,8099,3322,5,41.0791455735276,,
94,5536,3588,3,64.86632947976878,,
95,6363,1764,23,28.084236995128084,,
96,8229,4017,18,49.03390448414145,,
97,5942,2805,2,47.23998653651969,,
98,8505,5590,0,65.72604350382129,,
99,9998,6182,10,61.93238647729546,,
100,6787,3293,2,48.54869603654045,,
101,11862,5963,58,50.758725341426405,,
102,7316,3939,1,53.854565336249316,,
103,9735,8030,28,82.77349768875193,,
104,8562,3443,28,40.5395935529082,,
105,7014,4501,0,64.17165668662675,,
106,47,0,47,100.0,,
107,5189,2147,4,41.453073809982655,,
108,6084,2195,94,37.6232741617357,,
109,10198,5771,1,56.599333202588745,,
110,9463,4356,4,46.07418366268625,,
111,7261,5451,3,75.11362071340035,,
112,6199,3168,0,51.10501693821584,,
